Unnamed: 0,domain,phylum,class,order,family,genus,species,Breast (N),Breast (NAT),Breast (T),Lung (NAT),Lung (T),Melanoma (T),Pancreas (T),Ovary (N+NAT),Ovary (T),Bone (T),GBM (T),Colon (NAT),Colon (T),row_sum
218,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,1,1
219,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces dentalis,0,0,1,0,0,0,1,0,0,0,0,0,0,2
224,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces johnsonii,0,0,1,0,0,0,0,0,0,0,0,0,0,1
225,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis,0,0,1,0,0,0,0,0,0,1,0,0,0,2
227,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces naeslundii,0,1,1,0,0,0,0,0,0,0,0,1,0,3
229,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,0,1,1,0,0,0,0,0,0,0,0,1,1,4
230,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces oris,0,0,1,0,0,0,0,0,0,0,0,0,0,1
233,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces viscosus,0,0,1,0,0,0,0,0,0,0,0,0,0,1
369,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,0,0,0,0,0,0,0,0,0,0,0,1,0,1
422,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas hominis,0,0,1,0,0,0,0,0,0,0,0,0,0,1
425,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,Cellulomonas xylanilytica,0,1,1,0,0,0,0,0,0,0,0,0,0,2
426,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Tropheryma,Tropheryma whipplei,0,0,0,1,0,0,0,0,0,0,0,0,0,1
932,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens,0,0,1,0,0,0,0,0,0,0,0,0,0,1
939,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
947,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium durum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
960,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium minutissimum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
961,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium mucifaciens,0,1,1,0,0,0,0,0,0,0,0,0,0,2
967,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium simulans,0,0,1,0,0,0,1,0,0,0,0,0,0,2
968,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium singulare,0,0,1,0,0,0,0,0,0,0,0,0,0,1
969,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium stationis,1,0,1,0,0,0,0,0,0,0,0,0,0,2
970,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium striatum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
971,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium sundsvallense,0,0,1,0,0,0,0,0,0,0,0,0,0,1
978,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium xerosis,0,0,1,1,0,0,0,0,0,0,0,0,0,2
986,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium conglomeratum,0,0,1,1,0,0,1,0,0,0,0,0,0,3
987,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium muris,0,0,1,0,0,0,0,0,0,0,0,0,0,1
989,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium squillarum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1009,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,Dietzia cinnamea,0,1,1,0,0,0,0,0,0,0,0,0,0,2
1033,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Geodermatophilaceae,Blastococcus,Blastococcus aggregatus,1,0,1,1,1,0,0,0,0,0,0,0,0,4
1129,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,Agromyces mediolanus,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1253,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter agilis,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1263,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter globiformis,0,1,1,0,0,0,0,0,0,0,0,0,0,2
1267,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter nicotianae,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1311,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria atrinae,0,0,1,1,0,0,0,0,0,0,1,0,0,3
1314,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Kocuria,Kocuria kristinae,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1318,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Microbispora,Microbispora rosea,0,0,1,0,1,0,0,0,0,0,0,0,0,2
1333,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Nesterenkonia,Nesterenkonia halotolerans,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1342,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia aeria,0,1,1,0,0,0,0,0,0,0,0,0,0,2
1343,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia amarae,0,1,1,0,0,0,0,0,0,0,0,0,0,2
1344,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia dentocariosa,0,1,1,0,0,0,1,0,0,0,0,0,1,4
1345,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia endophytica,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1346,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia mucilaginosa,0,1,1,0,1,0,1,0,0,0,0,0,0,4
1347,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia nasimurium,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1348,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia terrae,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1453,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium frederiksbergense,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1467,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium peregrinum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1475,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium vaccae,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1505,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus corynebacterioides,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1506,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1693,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides ganghwensis,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1823,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium avidum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1824,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium granulosum,0,1,1,1,1,0,0,0,0,1,0,0,0,5
1829,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionimicrobium,Propionimicrobium lymphophilum,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1900,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,Pseudonocardia carboxydivorans,0,1,1,0,0,0,0,0,0,0,0,0,0,2
2007,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces tricolor,0,1,1,0,0,0,0,0,0,0,0,0,0,2
2029,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,Alloscardovia omnicolens,0,0,0,0,0,0,0,0,0,0,0,1,0,1
